drug_name,ndc,form,strength,mfg,acq,awp,dispensed,p_update,rxCUI,epc_class,drug_class
TRILOCICLO   KIT 0.1-8%,59088-0770-00,KIT,0.1-8%,PURE TEK,0,3450,0:00:00,03-17-21,2472646,ACNE TREATMENT (KIT),Acne Treatment (KIT) (KIT)
ATOPAVO      EMU,60003-0521-20,EMUL,,ONPACE PHA,0,975,0:00:00,03-17-21,2389947,ANTI-INFLAMMATOR (EMUL),Anti-Inflammator (EMUL) (EMUL)
APRIZIO PAK  KIT II,59088-0763-00,KIT,II,PURE TEK,0,2025,0:00:00,11-01-21,197877,ANTI-INFLAMMATORY (KIT),Anti-Inflammatory (KIT) (KIT)
OMEPRA/BICAR POW 40-1680,27241-0030-31,PACK,40-1680,AJANTA PHA,358.95,3145.08,0:00:00,06-01-21,753557,ANTI-INFLAMMATORY (PACK),Anti-Inflammatory (PACK) (PACK)
NAPROXEN     SUS 125/5ML,71297-0200-16,SUSP,125/5ML,,199.99,1131.6,12-27-21,05-27-21,311913,ANTI-INFLAMMATORY (SUSP),Anti-Inflammatory (SUSP) (SUSP)
PENTOXIFYLLI TAB 400MG ER,00904-5448-61,TBCR,400MG ER,MAJOR,18.99,149.82,0:00:00,07-29-22,312301,ANTI-INFLAMMATORY (TBCR),Anti-Inflammatory (TBCR) (TBCR)
PENTOXIFYLLI TAB 400MG ER,00904-5448-61,TBCR,400MG ER,MAJOR,18.99,149.82,0:00:00,07-29-22,312301,ANTI-INFLAMMATORY (TBCR),Anti-Inflammatory (TBCR) (TBCR)
PENTOXIFYLLI TAB 400MG ER,60505-0033-06,TBCR,400MG ER,APOTEX,37.07,114.05,0:00:00,07-29-22,312301,ANTI-INFLAMMATORY (TBCR),Anti-Inflammatory (TBCR) (TBCR)
PENTOXIFYLLI TAB 400MG ER,60505-0033-06,TBCR,400MG ER,APOTEX,37.07,114.05,0:00:00,07-29-22,312301,ANTI-INFLAMMATORY (TBCR),Anti-Inflammatory (TBCR) (TBCR)
MINOCYCLINE  CAP 45MG ER,72143-0221-30,CP24,45MG ER,JG PHARMA,20,630,0:00:00,09-27-22,1302650,ANTIBIOTIC (CP24),Antibiotic (CP24) (CP24)
DOXYCYCLINE  CAP 40MG,68308-0668-30,CPDR,40MG,MAYNE PHAR,589,939.15,0:00:00,06-04-24,901399,ABX ORALS (CPDR),Antibiotic (CPDR) (CPDR)
DOXYCYCLINE  CAP 40MG,66993-0815-30,CPDR,40MG,PRASCO LAB,498.75,748.24,0:00:00,08-25-21,901399,ABX ORALS (CPDR),Antibiotic (CPDR) (CPDR)
CLINDAMYCIN  SOL 1%,45802-0562-02,SOLN,1%,PERRIGO,7.17,57.88,11-20-24,07-25-23,309333,ACNE TOPICAL ABX (SOLN),Antibiotic (SOLN) (SOLN)
SILVER NITRA SOL 0.5%,00093-9614-13,SOLN,0.50%,TEVA USA,71.99,91.65,0:00:00,08-18-23,312952,TOPICAL ANTIBIOTIC (SOLN),Antibiotic (SOLN) (SOLN)
CLINDAMYCIN  SOL 1%,72578-0084-03,SOLN,1%,VIONA PHAR,0,75.25,0:00:00,11-10-23,309333,ACNE TOPICAL ABX (SOLN),Antibiotic (SOLN) (SOLN)
CLINDAMYCIN  SOL 1%,72578-0084-03,SOLN,1%,VIONA PHAR,0,75.25,0:00:00,11-10-23,309333,ACNE TOPICAL ABX (SOLN),Antibiotic (SOLN) (SOLN)
CLINDAMYCIN  SOL 1%,72578-0084-02,SOLN,1%,VIONA PHAR,0,38,0:00:00,11-06-23,309333,ACNE TOPICAL ABX (SOLN),Antibiotic (SOLN) (SOLN)
CLINDAMYCIN  SOL 1%,72578-0084-02,SOLN,1%,VIONA PHAR,0,38,0:00:00,11-06-23,309333,ACNE TOPICAL ABX (SOLN),Antibiotic (SOLN) (SOLN)
CLINDAMYCIN  SOL 1%,45802-0562-02,SOLN,1%,PERRIGO,7.17,57.88,11-20-24,07-25-23,309333,ACNE TOPICAL ABX (SOLN),Antibiotic (SOLN) (SOLN)
CLINDAMYCIN  SOL 1%,72578-0084-02,SOLN,1%,VIONA PHAR,0,38,0:00:00,11-06-23,309333,ACNE TOPICAL ABX (SOLN),Antibiotic (SOLN) (SOLN)
CLINDAMYCIN  SOL 1%,72578-0084-03,SOLN,1%,VIONA PHAR,0,75.25,0:00:00,11-10-23,309333,ACNE TOPICAL ABX (SOLN),Antibiotic (SOLN) (SOLN)
CLINDAMYCIN  SOL 1%,45802-0562-02,SOLN,1%,PERRIGO,7.17,57.88,11-20-24,07-25-23,309333,ACNE TOPICAL ABX (SOLN),Antibiotic (SOLN) (SOLN)
ERYTHROMYCIN SOL 2%,42571-0384-25,SOLN,2%,MICRO LAB,12.37,50,0:00:00,02-02-23,318202,ACNE TOPICAL ABX (SOLN),Antibiotic (SOLN) (SOLN)
CLINDAMYCIN  MIS 1%,45802-0263-37,SWAB,1%,PADAGIS,10.87,50.58,0:00:00,05-31-24,797274,ACNE TOPICAL ABX (SWAB),Antibiotic (SWAB) (SWAB)
MINOCYCLINE  TAB 105MG ER,00378-4294-93,TB24,105MG ER,MYLAN,0,1315.17,06-22-21,03-23-21,1013659,ANTIBIOTIC (TB24),Antibiotic (TB24) (TB24)
MINOCYCLINE  TAB 80MG ER,67877-0437-30,TB24,80MG ER,ASCENDLABS,22,1170.3,0:00:00,09-27-22,1013665,ABX ORALS (TB24),Antibiotic (TB24) (TB24)
MINOCYCLINE  TAB 90MG ER,67877-0576-30,TB24,90MG ER,ASCENDLABS,27,722.3,0:00:00,09-27-22,629699,ABX ORALS (TB24),Antibiotic (TB24) (TB24)
MINOCYCLINE  TAB 105MG ER,67877-0438-30,TB24,105MG ER,ASCENDLABS,47.78,1170.3,0:00:00,09-27-22,1013659,ABX ORALS (TB24),Antibiotic (TB24) (TB24)
MINOCYCLINE  TAB 45MG ER,67877-0578-30,TB24,45MG ER,,45,722.3,0:00:00,03-22-21,629697,ABX ORALS (TB24),Antibiotic (TB24) (TB24)
MINOCYCLINE  TAB 135MG ER,42546-0777-30,TB24,135MG ER,PRUGEN,0,605.01,04-01-21,04-01-21,629695,ABX ORALS (TB24),Antibiotic (TB24) (TB24)
MINOCYCLINE  TAB 65MG ER,67877-0643-30,TB24,65MG ER,,45,1170.3,0:00:00,03-22-21,858372,ABX ORALS (TB24),Antibiotic (TB24) (TB24)
MINOCYCLINE  TAB 135MG ER,67877-0577-30,TB24,135MG ER,,49,722.3,0:00:00,03-22-21,629695,ABX ORALS (TB24),Antibiotic (TB24) (TB24)
MINOCYCLINE  TAB 55MG ER,67877-0436-30,TB24,55MG ER,,45,1170.3,0:00:00,03-22-21,1013662,ABX ORALS (TB24),Antibiotic (TB24) (TB24)
CLINDAMYCIN  AER 1%,51672-4194-07,FOAM,1%,TARO ,229.5,456,08-16-24,01-04-24,477451,Topical Medication,Antibiotic Foam (FOA)
PILOCARPINE  SOL 4% OP,61314-0206-15,SOLN,4% OP,SANDOZ,7.92,105.69,0:00:00,11-05-24,1000897,ANTICHOLINERGIC (SOLN),Anticholinergic (SOLN) (SOLN)
TIMOLOL MAL  SOL 0.5% OP,61314-0227-15,SOLN,0.5% OP,SANDOZ,7.99,48.75,0:00:00,08-29-24,1992303,ANTICHOLINERGIC (SOLN),Anticholinergic (SOLN) (SOLN)
OMEPRAZOLE   CAP 20MG,00904-5684-61,CPDR,20MG,MAJOR,0,318.49,0:00:00,11-06-23,198051,ANTI-FUNGAL (CPDR),Antifungal (CPDR) (CPDR)
NUVAKAAN II  KIT,59088-0758-00,KIT,,PURE TEK,475,1823.5,0:00:00,08-23-21,197877,ANTI-FUNGAL NAIL (KIT),Antifungal (KIT) (KIT)
VENNGEL ONE  KIT 1%,59088-0709-00,KIT,1%,PURE TEK,0,3400,0:00:00,03-17-21,855633,ANTIFUNGAL (KIT),Antifungal (KIT) (KIT)
NYSTOP       POW 100000,00574-2008-02,POWD,100000,PADAGIS,0,95.88,0:00:00,02-28-24,261178,ANTI-FUNGAL (POWD),Antifungal (POWD) (POWD)
NYSTATIN     POW 100000,69315-0306-60,POWD,100000,LEADING PH,24.99,83.16,0:00:00,03-01-24,646456,ANTI-FUNGAL (POWD),Antifungal (POWD) (POWD)
