Unnamed: 0,bin,pcn,description,help_desk_number,ncpdp_version,plan_type,pricing_formula,dir_fee,shortnames (Ins)
0.0,3858.0,A4,Tri-Care Express Scripts,(800) 684-4466,D0,  ,INS,,AA
1.0,4336.0,ADV,Caremark,(800) 364-6331,D0,  ,INS,,BF
2.0,610014.0,,MEDCO MEDICARE PART D,(800) 922-1557,D0,  ,INS,,AC
3.0,610502.0,meddaet,Aetna Medicare,(800) 238-6279,D0,  ,INS,,AD
4.0,20107.0,wg,IngenioRX  Claim,(833) 296-5037,D0,  ,INS,,
5.0,20099.0,WG,Anthem BCBS,(800) 522-7487,D0,  ,INS,,AF
6.0,610602.0,NVTD,Navitus Health Solutions,          ,D0,  ,INS,,AG
7.0,610011.0,IRX,OptumRx,(800) 880-1188,D0,  ,INS,,AH
8.0,610279.0,9999,United Healthcare,(800) 797-9791,D0,  ,INS,,AI
9.0,15581.0,3200000,Humana Medicare,(800) 865-8715,D0,  ,INS,,AJ
10.0,610053.0,,,          ,D0,  ,INS,,
66.0,20115.0,IS,,          ,D0,  ,INS,209374.0,
122.0,17010.0,CIMCARE,Cigna,,D0,  ,INS,,AM
123.0,11172.0,,kaiser,          ,D0,  ,INS,,
124.0,610014.0,PEU,MEDCO HEALTH ,(800) 922-1557,D0,  ,INS,,AO
125.0,12312.0,partd,Envision Rx Options,(800) 361-4542,D0,  ,INS,209312.0,AP
126.0,3858.0,MD,MEDGR,(800) 824-0898,D0,  ,INS,,AQ
127.0,3585.0,,MedImpact Healthcare Systems,          ,D0,  ,INS,,
128.0,610097.0,9999,PACIFICARE LIFE AND H,          ,D0,  ,INS,209380.0,AS
129.0,18141.0,9999,ANTHEM BLUE CROSS,          ,D0,  ,INS,,
130.0,610455.0,,Blue Cross Blue Shield,(800) 821-4795,D0,  ,INS,,DS
131.0,11552.0,ILDR,,(800) 821-4795,D0,  ,INS,,
187.0,610239.0,FEPRX,FEPRX,(800) 364-6331,D0,  ,INS,,
188.0,17051.0,PRS,PINNACLE,          ,D0,  ,INS,,AX
189.0,16127.0,,PCHS,          ,D0,  ,INS,,
190.0,600471.0,7777,REST,(800) 880-1188,D0,  ,INS,,
191.0,610600.0,,Alphascrip,(877) 274-3244,D0,  ,INS,,
192.0,21783.0,AE02,NCE,          ,D0,  ,INS,,
193.0,4336.0,HNMC,HNMC,(800) 364-6331,D0,  ,INS,,
194.0,15574.0,ASPROD1,ASPROD1,(800) 522-7487,D0,  ,INS,,
195.0,15433.0,SSN,,          ,D0,  ,INS,,
251.0,4336.0,MEDDADV,Caremark,(800) 364-6331,D0,  ,INS,209377.0,BF
252.0,12114.0,,Caremark,(800) 364-6331,D0,  ,INS,,BF
253.0,13089.0,,Caremark,(800) 777-1023,D0,  ,INS,,BF
254.0,16499.0,,Horizon,(800) 522-7487,D0,  ,INS,,BI
255.0,600428.0,1420000,Cigna,(800) 522-7487,D0,  ,INS,,AM
256.0,17142.0,ASPROD1,,          ,D0,  ,INS,,
312.0,17449.0,6792000,Cigna,(800) 522-7487,D0,  ,INS,,AM
313.0,4261.0,CAL,Default Claim Format,          ,D0,  ,INS,,BO
314.0,610494.0,9999,Prescription Solutions,          ,D0,  ,INS,,BN
315.0,15599.0,5440000,Default Claim Format,800-783-1307,D0,  ,INS,,BO
316.0,610593.0,VA,informedRx,(800) 880-1188,D0,  ,INS,,BP
317.0,6053.0,SS,ScriptSave Medical Security,(800) 404-1031,D0,  ,INS,,
318.0,610127.0,,Prescription Solutions,          ,D0,  ,INS,,BN
319.0,18786.0,,,          ,D0,  ,INS,,
375.0,4336.0,77993333,,(800) 364-6331,D0,  ,INS,,
431.0,610455.0,AHPPARTD,,(800) 821-4795,D0,  ,INS,,
487.0,4915.0,,bc bs of alabama,          ,D0,  ,INS,,
488.0,610502.0,,aetna,(800) 238-6279,D0,  ,INS,,BW
489.0,3858.0,wc,workers comp,(800) 824-0898,D0,  ,INS,,
490.0,3585.0,56085,MedImpact Healthcare Systems,          ,D0,  ,INS,,
491.0,610415.0,,Caremark,(800) 345-5413,D0,  ,INS,,BF
492.0,26696.0,77993322,blue shield medicare ,(800) 364-6331,D0,  ,INS,209375.0,CA
493.0,610600.0,as,Alphascrip,(877) 274-3244,D0,  ,INS,,
494.0,12528.0,VENTEG,MY HEALTH LA,          ,D0,Private Pay,INS,,CC
495.0,20123.0,IRXCOMM,,(833) 296-5038,D0,  ,INS,,
551.0,5947.0,CLAIMCR,,(800) 880-1188,D0,  ,INS,,
607.0,12882.0,kpp,12882,(800) 880-1188,D0,  ,INS,,
608.0,3858.0,A4,Express Scripts,(800) 684-4466,D0,  ,INS,,CG
609.0,6053.0,msc,,(800) 404-1031,D0,  ,INS,,
665.0,610241.0,HERR,,,D0,  ,INS,,
721.0,610014.0,VDZ,,(800) 922-1557,D0,  ,INS,,
778.0,14658.0,IPM,,(877) 860-8846,D0,Commercial PBM Insurance,INS,,
834.0,610014.0,COBSEG,,(800) 922-1557,D0,  ,INS,,
890.0,15284.0,,,          ,D0,  ,INS,,
946.0,6558.0,,,(402) 753-2800,D0,  ,INS,,
1002.0,610011.0,GCHP,Gold Coast,(800) 880-1188,D0,  ,INS,,
1003.0,610014.0,meddprime,,(800) 922-1557,D0,  ,INS,209378.0,
1059.0,610014.0,MEDDPRIME,,(800) 922-1557,D0,  ,INS,209378.0,
1115.0,600471.0,DATAUNVAIL,,(800) 880-1188,D0,  ,INS,,
1171.0,18643.0,BCBS,,          ,D0,  ,INS,,
1227.0,20032.0,AHC,,          ,D0,  ,INS,,
1283.0,4336.0,77993344,,(800) 364-6331,D0,  ,INS,,
1339.0,600428.0,1910000,Blue Shield of CA,(800) 522-7487,D0,  ,INS,,
1340.0,3585.0,97889,,          ,D0,  ,INS,,
1396.0,610011.0,CTRXMEDD,,(800) 880-1188,D0,  ,INS,,
1452.0,3585.0,ASPROD1,,          ,D0,  ,INS,,
1508.0,600428.0,6650000,Blue shield CA,(800) 522-7487,D0,  ,INS,,
1509.0,600428.0,2550000,Cigna,(800) 522-7487,D0,  ,INS,,AM
1510.0,17688.0,9743,,          ,D0,  ,INS,,
