Bin,PCN,InsuranceShortName,RxGroup
PCN,Bin,INS,RxGroup
MEDDPRIME,610014,CR,2FFA
MEDDPRIME,610014,CM,2FGA
nan,610014,CM,CIGUG0000650695
CPT,23385,EJ,CPRX
MEDDPRIME,610014,CR,2FGA
nan,610014,CM,LAC0101
nan,610014,CM,RRW0000
MEDDPRIME,610014,CR,BXMA
MEDDPRIME,610014,CR,BHMAPDX
CTRXMEDD,610011,CY,EGWPS057
nan,610014,CM,NATLELV
nan,610014,CM,Q74A
VDZ,610014,CJ,NXS000001924907
ILDR,11552,AV,0003
CTRXMEDD,610011,CY,CSGMDPDPV
A4,3858,EQ,2CTA
MEDDPRIME,610014,CR,MOMAHADX
A4,3858,EQ,AQLA
nan,610014,CM,RX4CAHP
nan,610014,CM,VCHA
CTRXMEDD,610011,CY,EGWPS032
A4,3858,EQ,VCHA
ILDR,11552,AV,0037
nan,610014,CM,RXBOLAM
MEDDPRIME,610014,CQ,2FGA
A4,3858,EQ,DODA
nan,610014,CM,CIGUG0003209976
8001002,19025,EW,0847887
nan,610014,CM,CIGUG0003344318
RWRX,610862,EB,50028
SSN,15433,BE,218115
nan,610014,CM,HNASTPA
A4,3858,EQ,K6XA
nan,610014,CM,CIGUG0000628589
nan,610014,CM,AMGENRX
nan,610014,CM,CIGUG0003215088
nan,610014,CM,NXS000001924907
nan,nan,,nan
MEDDPRIME,610014,CR,SCEEGWP
MEDDPRIME,610014,CR,BHDSNPX
nan,610014,CM,K7GA
nan,610014,CM,35242RX
nan,610014,CM,RXS4PHS
nan,610014,CM,RX4EIAH
AHC,20032,CU,KWA100
IRX,610011,EO,CALPHLNT
nan,15905,EY,B0000002
A4,3858,EQ,EMCRX4U
nan,610014,CM,CIGUG0003343283
nan,610014,CM,LAF1014
A4,3858,EQ,CHLARX1
CHM,610852,FS,JD204
nan,610014,CM,LAFD100
nan,610014,CM,Q54A
nan,6558,CO,NIFMCP
A4,3858,EQ,JLLSRX1
nan,610014,CM,HMRK001
ILDR,11552,AV,nan
A4,3858,EQ,AK5A
MOHMKP,25201,FT,RX0845
A4,3858,EQ,ONEXRIO
RWRX,610862,EB,50029
ILDR,11552,AV,7001
BOE,11552,AV,1000
ILDR,11552,AV,3004
COBSEG,610014,CM,DISNEYRX
66202303,18448,FF,76414548
BCTX,11552,AV,0500
nan,610014,CM,AK5A
nan,610014,CM,CHLARX1
MEDDPRIME,610014,CR,6936MDRX
CLAIMCR,5947,CE,GILEAD
IRX,610011,EO,RXBENEFIT
nan,610212,DQ,10012785RO27971
A4,3858,EQ,AMAZON1
MEDDPRIME,610014,CR,VZNUMBX
ILDR,11552,AV,828978
123119,610237,FG,00IC1
nan,610014,CM,FIS2020
nan,610014,CM,REDBULL
SSN,15433,BE,10984
A4,3858,EQ,SCECOMM
nan,9430,GA,OPECP364
A4,3858,EQ,PRESBOP
nan,610014,CM,RXTRUCK
nan,610014,CM,CIGUG0000650313
CIMCARE,17010,GC,CIGPDPRX
0215COMM,17010,GF,CIGUG0003343283
CHM,610852,GE,JD204
0215COMM,17010,GF,CIGUG0003342083
CLAIMCR,5947,CE,CTRPEX
MEDDPRIME,610014,CR,93W4RXD
0215COMM,17010,GF,CIGUG0000651894
CTRXMEDD,610011,CY,EGWPS019
COBSEG,610014,CM,BCWAPDP
0215COMM,17010,GF,CIGUG0003209976
IS,20099,GH,WLHA
nan,610014,CM,BCWAPDP
MEDDPRIME,610014,CR,CHWTFCA
A4,3858,EQ,USOPCRX
IS,20099,GH,WXHA
0215COMM,17010,GF,CIGUG0000652009
NVT,610602,GJ,SISC
0215COMM,17010,GF,CIGUG0000637867
0215COMM,17010,GF,CIGUG0000651752
RWRX,610862,EB,50027
SSN,15433,BE,76415688
0215COMM,17010,GF,CIGUG0000637175
nan,610014,CM,SWCHWRX
0215COMM,17010,GF,CIGUG0000630306
nan,610014,CM,JMACTSHWARREN01
nan,610014,CM,LCBA
0215COMM,17010,GF,CIGUG0003209904
nan,610014,CM,DISNEYRX
0215COMM,17010,GF,CIGUG0000625699
0215COMM,17010,GF,CIGUG0000633071
0215COMM,17010,GF,CIGUG0000619227
A4,3858,EQ,VCARX19
nan,610014,CM,SXS000001573527
ILDR,11552,AV,1500
nan,610212,DQ,10012785RO31002
nan,610014,CM,PXS000016161779
ICS,22022,GT,CCM
0215COMM,17010,GF,CIGUG0000616948
0215COMM,17010,GF,CIGUG0003337383
0215COMM,17010,GF,CIGUG0003345335
CH,20099,GV,WL2A
HNET,4336,ET,RX6241
0215COMM,17010,GF,CIGUG0003331467
A4,3858,GS,2CTA
nan,610014,CM,CIGUG0003174376
0215COMM,17010,GF,CIGUG0000633444
VDZ,610014,CJ,1010127
0215COMM,17010,GF,3341877
NVT,610602,GJ,NVT
nan,610014,CM,CIGUG0000619058
0215COMM,17010,GF,CIGUG0000652110
A4,3858,EQ,MYIHGRX
A4,3858,EQ,REDVENT
nan,610014,CM,CIGUG0000634051
ILDR,11552,AV,0001
MEDDPRIME,610014,CR,2FKA
0215COMM,17010,GF,CIGUG0000652442
NVT,610602,GJ,RX4SISC
meddprime,610014,CQ,2FGA
0215COMM,17010,GF,CIGUG0000652993
0215COMM,17010,GF,CIGUG0003344821
0215COMM,17010,GF,CIGUG0000656208
datunvail,21684,EH,BXMN
0215COMM,17010,GF,CIGUG0000650695
servu,610548,GY,3919
nan,610014,CM,CBEBT01
ILDR,11552,AV,8888
nan,15905,EY,14167203
nan,610014,CM,THERMRX
0215COMM,17010,GF,CIGUG0002498556
A4,3858,GS,AK5A
A4,3858,EQ,94F9GDC
0215COMM,17010,GF,CIGUG0003345589
0215COMM,17010,GF,CIGUG0003342946
0215COMM,17010,GF,CIGUG0003343566
ILDR,11552,AV,1700
0215COMM,17010,GF,CIGUG0000615741
COBSEG,610014,CM,CBEBT01
COBSEG,610014,CM,CIGUG0000634051
COBSEG,610014,CM,CIGUG0000650695
0215COMM,17010,GF,CIGUG0003341877
COBSEG,610014,CM,AMGENRX
ILDR,11552,AV,1000
COBSEG,610014,CM,VCHA
COBSEG,610014,CM,LAF1014
COBSEG,610014,CM,RX4CAHP
0215COMM,17010,GF,3343283
COBSEG,610014,CM,HNASTPA
COBSEG,610014,CM,SXS000001573527
COBSEG,610014,CM,NXS000001924907
NVT,610602,GJ,UCA
0215COMM,17010,GF,CIGUG0003346336
0215COMM,17010,GF,CIGUG0003342073
0215COMM,17010,GF,CIGUG0003346061
COBSEG,610014,CM,RRW0000
COBSEG,610014,CM,ZURNARX
0215COMM,17010,GF,CIGUG0003339985
ILDR,11552,AV,0300
PRS,17051,GQ,7951
ILDR,11552,AV,0100
3207,24368,EP,21437MER
COBSEG,610014,CM,CHLARX1
COBSEG,610014,CM,CIGUG0000633453
PDPOK,610455,BU,0015
COBSEG,610014,CM,CIGUG0000619058
CTRXMEDD,610011,CY,EGWPS037
BOE,11552,HB,2000
0215COMM,17010,GF,CIGUG0004006803
COBSEG,610014,CM,RXS4PHS
COBSEG,610014,CM,AMGSTDPPOSB2
0215COMM,17010,GF,CIGUG0003309764
0215COMM,17010,GF,CIGUG0003344805
COBSEG,610014,CM,THERMRX
3207,24368,EP,80940
nan,610268,HE,nan
0215COMM,17010,GF,CIGUG0003345300
0215COMM,17010,GF,CIGUG0003328615
nan,6558,CO,NIFMCO
nan,15905,EY,nan
nan,15905,EY,14167694
COBSEG,610014,CM,CIGUG0003344670
COBSEG,610014,CM,LAC0101
A4,3858,GS,SCECOMM
A4,3858,EQ,REDBULL
BOE,11552,HB,1000
0215COMM,17010,GF,CIGUG0003345914
COBSEG,610014,CM,SWCHWRX
0215COMM,17010,GF,CIGUG0003339912
COBSEG,610014,CM,RXTRUCK
COPAY,610014,CM,EXS000000073665
COBSEG,610014,CM,AK5A
WDRX,8878,ER,RWTBEVCAP
COBSEG,610014,CM,SAPUTO1
0215COMM,17010,GF,3338271
nan,15905,EY,14178683
0215COMM,17010,GF,CIGUG0003345374
IPM,14658,CL,788A35
0215COMM,17010,GF,CIGUG0003340850
0215COMM,17010,GF,CIGUG0003336028
MEDDPRIME,610014,CQ,BHMAPDX
COBSEG,610014,CM,HMRK001
nan,15905,EY,14163030
A4,3858,EQ,VIZIENT
77993322,4336,BT,nan
COBSEG,610014,CM,CIGUG0003174376
nan,610014,HG,RXBINCO
COBSEG,610014,CM,LCBA
COBSEG,610014,CM,5XS000016128418
0215COMM,17010,GF,CIGUG0003342833
COBSEG,610014,CM,CIGUG0003215088
A4,3858,EQ,LCBA
COBSEG,610014,CM,CIGUG0000616948
A4,3858,EQ,NETJEJM
COBSEG,610014,CM,CIGUG0003341475
HNET,4336,ET,nan
DATAUNVAIL,600471,CS,266C
0215COMM,17010,GF,CIGUG0003345694
0215COMM,17010,GF,CIGUG0003336575
ILDR,11552,AV,0000
06090000,15814,FB,nan
10000019,5377,FN,4955
10000019,5377,FN,702789
0215COMM,17010,GF,CIGUG0003209364
CHM,610852,GE,JD311
NVT,610602,GJ,40391B
0215COMM,17010,GF,CIGUG0002464814
14032015,24160,HC,19053
0519PAYR,17010,HJ,CIGPS0000737747
CHM,610852,GE,nan
0215COMM,17010,GF,CIGUG0003344547
CHM,610852,GE,W0054279
A4,3858,GS,HMRK001
0215COMM,17010,GF,CIGUG0003339172
PRS,610228,GP,8054
cpt,23385,EJ,CPRX
0215COMM,17010,GF,CIGUG0003212364
A4,3858,EQ,TATACON
NVT,610602,HF,SISC
cwhs,20974,DL,CWE
0215COMM,17010,GF,CIGUG0003345283
NVT,610602,GJ,SOSC
0215COMM,17010,GF,CIGUG0003340278
0215COMM,17010,GF,CIGUG0003333622
WDRX,8878,ER,IMSD95
CHM,610852,GE,JD278
*,21684,EH,BXMN
COBSEG,610014,CM,LAFD100
CHM,610852,GE,JD303
CHM,610852,GE,JD216
IS,20115,AL,WM2A
MEDDAET,610502,BW,RXAETD
